train_loss,train_acc,val_loss,val_acc
0.6850338652528075,0.5338753387533876,0.6793423715759727,0.5490196078431373
0.6580317910447676,0.6287262872628726,0.662281472308963,0.5686274509803921
0.6420074607621686,0.6558265582655827,0.6419910215863994,0.5882352941176471
0.6375090069564054,0.6558265582655827,0.6247233923743752,0.6372549019607843
0.6313745264761493,0.6829268292682927,0.6097829388637169,0.7058823529411764
0.6173268157615248,0.6775067750677507,0.5941087603569031,0.7156862745098039
0.6224351975975967,0.6476964769647696,0.5810700713419447,0.7352941176470588
0.6087931950240923,0.6775067750677507,0.5707081427761153,0.7450980392156863
0.6039651889141983,0.7032520325203252,0.5692074748815275,0.7450980392156863
0.6006674467709653,0.6788617886178862,0.5667044754121818,0.7549019607843137
0.5947029584145481,0.6842818428184282,0.5650938574005576,0.7549019607843137
0.5936474783956843,0.6924119241192412,0.5631226044075162,0.7745098039215687
0.5868826474600691,0.6869918699186992,0.5590966291287366,0.7647058823529411
0.571230476141622,0.7032520325203252,0.5539484456473706,0.7647058823529411
0.579700756848343,0.7059620596205962,0.5529400098557565,0.7647058823529411
0.5691491426814216,0.7100271002710027,0.5528018743384118,0.7549019607843137
0.5686867537537241,0.7289972899728997,0.5498136404682609,0.7450980392156863
0.5709328121609158,0.7005420054200542,0.5474126508422926,0.7549019607843137
0.5705312629379231,0.7208672086720868,0.5452847755422779,0.7647058823529411
0.5554043051350085,0.7344173441734417,0.5456743906526005,0.7647058823529411
